_id,site,datetime,stat,BCSTAT,BCSTAT_txt,BP,BP_txt,CO,CO_txt,H2S,H2S_txt,INT_T,INT_T_txt,NO,NO_txt,NO2,NO2_txt,NOX,NOX_txt,NOY,NOY_txt,NOYDIF,NOYDIF_txt,OUT_RH,OUT_RH_txt,OUT_T,OUT_T_txt,OZONE,OZONE_txt,OZONE2,OZONE2_txt,PER_F,PER_F_txt,PER_F2,PER_F2_txt,PM10,PM10_txt,PM10_FL,PM10_FL_txt,PM10B,PM10B_txt,PM25,PM25_txt,PM25(2),PM25(2)_txt,PM25_FL,PM25_FL_txt,PM25B,PM25B_txt,PM25T,PM25T_txt,RWD,RWD_txt,RWS,RWS_txt,SIGTHETA,SIGTHETA_txt,SO2,SO2_txt,SONICWD,SONICWD_txt,SONICWS,SONICWS_txt,UVPM,UVPM_txt
603,Avalon,2016-01-19T00:00:00,Min,,,745.7,,,,0,,19.1,,,,,,,,,,,,,,-14,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,21.4,,0,,260,,2.2,,,
604,Avalon,2016-01-19T00:00:00,Max,,,751.4,,,,0,,25,,,,,,,,,,,,,,-7.3,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,40.3,,0.003,,302,,8.6,,,
605,Avalon,2016-01-19T00:00:00,Hr. of Max,,,23,,,,23,,16,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,19,,14,,21,,10,,,
606,Avalon,2016-01-19T00:00:00,Avg,,,749.1,,,,0,,21.7,,,,,,,,,,,,,,-10.7,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,26.9,,0,,275,,6.3,,,
607,Avalon,2016-01-20T00:00:00,Count,,,24,,,,23,,23,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,23,,24,,24,,,
608,Avalon,2016-01-20T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Avalon,2016-01-20T00:00:00,Min,,,742.8,,,,0,,19.5,,,,,,,,,,,,,,-12.4,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,18,,0,,31,,1.5,,,
610,Avalon,2016-01-20T00:00:00,Max,,,751.1,,,,0.001,,22.7,,,,,,,,,,,,,,-6.3,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,75,,0.004,,332,,5.8,,,
611,Avalon,2016-01-20T00:00:00,Hr. of Max,,,0,,,,15,,1,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,10,,12,,3,,21,,,
612,Avalon,2016-01-20T00:00:00,Avg,,,746.4,,,,0,,21.5,,,,,,,,,,,,,,-9.3,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,41.7,,0,,356,,3.1,,,
