_id,site,datetime,stat,BCSTAT,BCSTAT_txt,BP,BP_txt,CO,CO_txt,H2S,H2S_txt,INT_T,INT_T_txt,NO,NO_txt,NO2,NO2_txt,NOX,NOX_txt,NOY,NOY_txt,NOYDIF,NOYDIF_txt,OUT_RH,OUT_RH_txt,OUT_T,OUT_T_txt,OZONE,OZONE_txt,OZONE2,OZONE2_txt,PER_F,PER_F_txt,PER_F2,PER_F2_txt,PM10,PM10_txt,PM10_FL,PM10_FL_txt,PM10B,PM10B_txt,PM25,PM25_txt,PM25(2),PM25(2)_txt,PM25_FL,PM25_FL_txt,PM25B,PM25B_txt,PM25T,PM25T_txt,RWD,RWD_txt,RWS,RWS_txt,SIGTHETA,SIGTHETA_txt,SO2,SO2_txt,SONICWD,SONICWD_txt,SONICWS,SONICWS_txt,UVPM,UVPM_txt
3981,Harrison Township,2016-03-17T00:00:00,Min,,,,,,,,,15.9,,0,,0.001,,0.001,,,,,,,,,,0.023,,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16483,South Fayette,2016-09-06T00:00:00,Count,,,,,,,,,24,,,,,,,,,,,,,,24,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
3131,Lawrenceville 2,2016-03-05T00:00:00,Hr. of Max,,,,,8,,,,23,,5,,,,,,6,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,
3204,Lawrenceville 2,2016-03-06T00:00:00,Avg,,,,,299.2,,,,25.2,,4.1,,,,,,16,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,
4569,Lawrenceville 2,2016-03-25T00:00:00,Min,,,,,160.8,,,,22.7,,0,,,,,,1.9,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
3056,Lawrenceville 2,2016-03-04T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4499,Lawrenceville 2,2016-03-24T00:00:00,Hr. of Max,,,,,4,,,,23,,4,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
2864,North Braddock,2016-03-01T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,Lawrenceville 2,2016-03-04T00:00:00,Hr. of Max,,,,,8,,,,23,,8,,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
3810,Parkway East (Near Road),2016-03-14T00:00:00,Avg,0,,722.6,,200.4,,,,22.2,,0.8,,5.2,,6,,,,,,81.7,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4500,Lawrenceville 2,2016-03-24T00:00:00,Avg,,,,,243,,,,25.6,,2.2,,,,,,12.6,,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
5965,Parkway East (Near Road),2016-04-13T00:00:00,Count,24,,24,,23,,,,24,,23,,23,,23,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2989,Liberty,2016-03-03T00:00:00,Count,,,,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
2990,Liberty,2016-03-03T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2994,Liberty,2016-03-03T00:00:00,Avg,,,,,,,0,,22,,,,,,,,,,,,,,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,0,,77,,3.4,,,
3020,South Fayette,2016-03-03T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3273,Lawrenceville 2,2016-03-07T00:00:00,Min,,,,,199.4,,,,24.6,,0.3,,,,,,6.3,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
3374,Parkway East (Near Road),2016-03-08T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5155,Liberty 2,2016-04-02T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,,,24,,24,,24,,,,,,,,,,,,,,,,,,,
3227,North Braddock,2016-03-06T00:00:00,Hr. of Max,,,10,,,,,,23,,,,,,,,,,,,,,17,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,22,,23,,9,,11,,,
5156,Liberty 2,2016-04-02T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3674,Avalon,2016-03-13T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3675,Avalon,2016-03-13T00:00:00,Min,,,736.5,,,,0,,22.1,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,23.9,,0,,52,,1.7,,,
3947,North Braddock,2016-03-16T00:00:00,Hr. of Max,,,23,,,,,,20,,,,,,,,,,,,,,10,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,7,,9,,6,,15,,,
3948,North Braddock,2016-03-16T00:00:00,Avg,,,732.5,,,,,,24.6,,,,,,,,,,,,,,14.7,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,42.5,,0.002,,265,,5.9,,,
3544,Glassport High Street,2016-03-11T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3545,Glassport High Street,2016-03-11T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3546,Glassport High Street,2016-03-11T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3547,Harrison Township,2016-03-11T00:00:00,Count,,,,,,,,,24,,24,,24,,24,,,,,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557,Lawrenceville,2016-03-11T00:00:00,Hr. of Max,,,19,,,,,,0,,,,,,,,,,,,0,,17,,0,,0,,,,,,,,,,19,,,,,,,,23,,,,23,,,,,,,,,,,,,
3558,Lawrenceville,2016-03-11T00:00:00,Avg,,,745.8,,,,,,24.3,,,,,,,,,,,,67.5,,5.2,,0.02,,0.02,,,,,,,,,,5,,,,,,,,4,,,,0,,,,,,,,,,,,,
3559,Lawrenceville 2,2016-03-11T00:00:00,Count,,,,,23,,,,24,,23,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
3676,Avalon,2016-03-13T00:00:00,Max,,,741.3,,,,0.002,,22.9,,,,,,,,,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,59.2,,0.002,,355,,6.2,,,
3677,Avalon,2016-03-13T00:00:00,Hr. of Max,,,0,,,,7,,22,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,9,,14,,1,,15,,,
4537,Avalon,2016-03-25T00:00:00,Count,,,24,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,24,,24,,24,,24,,,
3729,North Braddock,2016-03-13T00:00:00,Min,,,734.9,,,,,,24.7,,,,,,,,,,,,,,10.2,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,27.2,,0.001,,13,,0.8,,,
4538,Avalon,2016-03-25T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3482,Lawrenceville,2016-03-10T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4928,Lawrenceville 2,2016-03-30T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4929,Lawrenceville 2,2016-03-30T00:00:00,Min,,,,,164.4,,,,21.9,,0.1,,,,,,4.1,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
5976,South Fayette,2016-04-13T00:00:00,Avg,,,,,,,,,23.5,,,,,,,,,,,,,,6.1,,0.038,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,,0,,57,,4.5,,,
4930,Lawrenceville 2,2016-03-30T00:00:00,Max,,,,,557.3,,,,24.5,,45.9,,,,,,74.9,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,
5343,Flag Plaza,2016-04-05T00:00:00,Min,,,,,0.1,,,,23.1,,,,,,,,,,,,,,-4.3,,,,,,29,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,Parkway East (Near Road),2016-04-03T00:00:00,Hr. of Max,23,,10,,15,,,,6,,12,,23,,10,,,,,,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9032,Lawrenceville 2,2016-05-26T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3137,Liberty,2016-03-05T00:00:00,Hr. of Max,,,,,,,23,,16,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,14,,21,,12,,,
5143,Lawrenceville 2,2016-04-02T00:00:00,Count,,,,,23,,,,24,,23,,,,,,23,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
3678,Avalon,2016-03-13T00:00:00,Avg,,,738.9,,,,0,,22.5,,,,,,,,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,35.8,,0,,88,,4.1,,,
3215,Liberty 2,2016-03-06T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,23,,,,23,,23,,23,,,,,,,,,,,,,,,,,,,
4035,Avalon,2016-03-18T00:00:00,Min,,,738,,,,0,,20.2,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,20.3,,0,,10,,1.4,,,
4036,Avalon,2016-03-18T00:00:00,Max,,,742.4,,,,0.001,,22.7,,,,,,,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,66.4,,0.001,,349,,14.3,,,
4038,Avalon,2016-03-18T00:00:00,Avg,,,739.3,,,,0,,21.6,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,39.2,,0,,327,,6.1,,,
4178,Avalon,2016-03-20T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4179,Avalon,2016-03-20T00:00:00,Min,,,739.3,,,,0,,20.2,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,18.6,,0,,0,,2.1,,,
4180,Avalon,2016-03-20T00:00:00,Max,,,741.4,,,,0.003,,22.1,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,65.9,,0.007,,339,,6.1,,,
4931,Lawrenceville 2,2016-03-30T00:00:00,Hr. of Max,,,,,7,,,,23,,6,,,,,,6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
5618,Avalon,2016-04-09T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,Parkway East (Near Road),2016-03-02T00:00:00,Max,0,,732.1,,514,,,,24.4,,13,,10.9,,22.1,,,,,,80.2,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2945,Parkway East (Near Road),2016-03-02T00:00:00,Hr. of Max,23,,22,,15,,,,9,,15,,23,,8,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3285,Liberty 2,2016-03-07T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,60,,,,2,,2,,50,,,,,,,,,,,,,,,,,,,
3001,Lincoln,2016-03-03T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
3286,Liberty 2,2016-03-07T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,65,,,,50,,51,,53,,,,,,,,,,,,,,,,,,,
6018,Liberty,2016-04-14T00:00:00,Avg,,,,,,,0,,24.2,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,,0,,59,,4.3,,,
3886,South Fayette,2016-03-15T00:00:00,Max,,,,,,,,,25.7,,,,,,,,,,,,,,15,,0.032,,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,43.2,,0,,339,,6,,,
3222,Lincoln,2016-03-06T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,57,,21,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,
3366,Lincoln,2016-03-08T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,27,,40,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
3426,Liberty,2016-03-09T00:00:00,Avg,,,,,,,0.008,,24.7,,,,,,,,,,,,,,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,,0.02,,215,,6.5,,,
6504,Harrison Township,2016-04-21T00:00:00,Avg,,,,,,,,,21.1,,0.001,,0.007,,0.009,,,,,,,,,,0.038,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5955,Lincoln,2016-04-13T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,45,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
3002,Lincoln,2016-03-03T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7916,South Fayette,2016-05-10T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3679,Flag Plaza,2016-03-13T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3680,Flag Plaza,2016-03-13T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3140,Liberty 2,2016-03-05T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3681,Flag Plaza,2016-03-13T00:00:00,Min,,,,,0.2,,,,25.5,,,,,,,,,,,,,,10.4,,,,,,58,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682,Flag Plaza,2016-03-13T00:00:00,Max,,,,,0.6,,,,27,,,,,,,,,,,,,,15.3,,,,,,60,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3683,Flag Plaza,2016-03-13T00:00:00,Hr. of Max,,,,,3,,,,14,,,,,,,,,,,,,,14,,,,,,23,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3684,Flag Plaza,2016-03-13T00:00:00,Avg,,,,,0.3,,,,26.6,,,,,,,,,,,,,,12.6,,,,,,59,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4182,Avalon,2016-03-20T00:00:00,Avg,,,740.5,,,,0,,21.1,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,40.1,,0.001,,360,,3.5,,,
4550,Glassport High Street,2016-03-25T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3874,North Braddock,2016-03-15T00:00:00,Max,,,735,,,,,,28.1,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,67.3,,0.002,,358,,5.7,,,
3069,Liberty 2,2016-03-04T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,60,,,,6,,5,,50,,,,,,,,,,,,,,,,,,,
3070,Liberty 2,2016-03-04T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,61,,,,11,,10,,51,,,,,,,,,,,,,,,,,,,
3071,Liberty 2,2016-03-04T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,23,,,,17,,17,,23,,,,,,,,,,,,,,,,,,,
4039,Flag Plaza,2016-03-18T00:00:00,Count,,,,,24,,,,24,,,,,,,,,,,,,,24,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3888,South Fayette,2016-03-15T00:00:00,Avg,,,,,,,,,24.4,,,,,,,,,,,,,,11.7,,0.021,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,0,,121,,3.6,,,
3685,Glassport High Street,2016-03-13T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3686,Glassport High Street,2016-03-13T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4551,Glassport High Street,2016-03-25T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4014,Lincoln,2016-03-17T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,40,,24,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
2999,Liberty 2,2016-03-03T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,7,,,,23,,18,,7,,,,,,,,,,,,,,,,,,,
3009,North Braddock,2016-03-03T00:00:00,Min,,,739,,,,,,22.9,,,,,,,,,,,,,,-6.3,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,17.1,,0,,14,,1,,,
4932,Lawrenceville 2,2016-03-30T00:00:00,Avg,,,,,271,,,,23.2,,7.6,,,,,,22,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,
3000,Liberty 2,2016-03-03T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,60,,,,4,,3,,50,,,,,,,,,,,,,,,,,,,
5624,Flag Plaza,2016-04-09T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6624,South Fayette,2016-04-22T00:00:00,Avg,,,,,,,,,23.1,,,,,,,,,,,,,,15.1,,0.042,,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,,0,,313,,4.8,,,
7537,Lincoln,2016-05-05T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,
4188,Flag Plaza,2016-03-20T00:00:00,Avg,,,,,0.1,,,,24.6,,,,,,,,,,,,,,2.4,,,,,,65,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4934,Liberty,2016-03-30T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141,Liberty 2,2016-03-05T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,60,,,,6,,5,,49,,,,,,,,,,,,,,,,,,,
3142,Liberty 2,2016-03-05T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,62,,,,13,,13,,51,,,,,,,,,,,,,,,,,,,
3143,Liberty 2,2016-03-05T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,7,,,,23,,23,,23,,,,,,,,,,,,,,,,,,,
2976,Harrison Township,2016-03-03T00:00:00,Avg,,,,,,,,,19.3,,0.001,,0.007,,0.008,,,,,,,,,,0.028,,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2918,Liberty,2016-03-02T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3208,Liberty,2016-03-06T00:00:00,Max,,,,,,,0.009,,22.9,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,0.017,,357,,5.4,,,
3745,Avalon,2016-03-14T00:00:00,Count,,,24,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,24,,24,,24,,24,,,
3746,Avalon,2016-03-14T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3747,Avalon,2016-03-14T00:00:00,Min,,,732.7,,,,0,,21.4,,,,,,,,,,,,,,10.3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,22.7,,0,,96,,1.8,,,
3213,Liberty 2,2016-03-06T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,61,,,,8,,7,,51,,,,,,,,,,,,,,,,,,,
3748,Avalon,2016-03-14T00:00:00,Max,,,736.5,,,,0.002,,22.8,,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,61.2,,0,,202,,7.7,,,
3214,Liberty 2,2016-03-06T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,64,,,,47,,48,,52,,,,,,,,,,,,,,,,,,,
4190,Glassport High Street,2016-03-20T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3687,Glassport High Street,2016-03-13T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4046,Glassport High Street,2016-03-18T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4555,Harrison Township,2016-03-25T00:00:00,Count,,,,,,,,,24,,24,,24,,24,,,,,,,,,,24,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3287,Liberty 2,2016-03-07T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,7,,,,6,,6,,7,,,,,,,,,,,,,,,,,,,
3288,Liberty 2,2016-03-07T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,62,,,,14,,14,,51,,,,,,,,,,,,,,,,,,,
4556,Harrison Township,2016-03-25T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935,Liberty,2016-03-30T00:00:00,Min,,,,,,,0,,23,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,0,,46,,1.1,,,
5625,Flag Plaza,2016-04-09T00:00:00,Min,,,,,0.2,,,,22.9,,,,,,,,,,,,,,-3,,,,,,32,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3349,Liberty,2016-03-08T00:00:00,Count,,,,,,,24,,24,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,24,,24,,,
5626,Flag Plaza,2016-04-09T00:00:00,Max,,,,,0.2,,,,24.2,,,,,,,,,,,,,,2.2,,,,,,33,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7958,Liberty,2016-05-11T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6224,Lawrenceville 2,2016-04-17T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12590,Parkway East (Near Road),2016-07-14T00:00:00,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3749,Avalon,2016-03-14T00:00:00,Hr. of Max,,,9,,,,6,,5,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,20,,23,,12,,18,,,
3150,Lincoln,2016-03-05T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,56,,11,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
3750,Avalon,2016-03-14T00:00:00,Avg,,,735,,,,0,,22.2,,,,,,,,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,32.2,,0,,127,,4,,,
3411,Lawrenceville,2016-03-09T00:00:00,Min,,,739.8,,,,,,23.5,,,,,,,,,,,,30.9,,0.9,,0,,0,,,,,,,,,,16,,,,,,,,12,,,,1,,,,,,,,,,,,,
3219,Lincoln,2016-03-06T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,56,,10,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
3220,Lincoln,2016-03-06T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,58,,72,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,
3427,Liberty 2,2016-03-09T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,24,,,,24,,24,,24,,,,,,,,,,,,,,,,,,,
3430,Liberty 2,2016-03-09T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,72,,,,77,,80,,58,,,,,,,,,,,,,,,,,,,
3221,Lincoln,2016-03-06T00:00:00,Hr. of Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,23,,23,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,
3289,Lincoln,2016-03-07T00:00:00,Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,23,,24,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,
3291,Lincoln,2016-03-07T00:00:00,Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,23,,9,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
3292,Lincoln,2016-03-07T00:00:00,Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,58,,101,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,
3432,Liberty 2,2016-03-09T00:00:00,Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,70,,,,31,,31,,57,,,,,,,,,,,,,,,,,,,
4561,Lawrenceville,2016-03-25T00:00:00,Count,,,24,,,,,,24,,,,,,,,,,,,24,,24,,24,,24,,,,,,,,,,21,,,,,,,,24,,,,24,,,,,,,,,,,,,
